Date,Motor_ID,Bearing_Temp_C,Winding_Temp_C,Vibration_mm_s,Current_A,Voltage_V,Power_Factor,Running_Hours
2026-05-15,MTR-101,72.2,86.2,2.7,125.1,415,0.98,4964
2026-05-16,MTR-101,72.0,88.2,2.19,125.9,1000,0.86,4977
2026-05-17,MTR-101,64.8,81.6,3.2,125.7,415,0.89,4990
2026-05-18,MTR-101,69.8,83.9,2.39,122.2,415,0.92,5003
2026-05-19,MTR-101,71.6,84.1,2.48,137.6,1000,0.96,5021
2026-05-20,MTR-101,67.9,81.9,2.63,125.2,690,0.83,5029
2026-05-21,MTR-101,67.3,82.0,3.13,132.5,415,0.9,5045
2026-05-22,MTR-101,70.4,84.6,2.92,114.2,690,0.87,5052
2026-05-23,MTR-101,70.8,80.5,2.8,123.4,690,0.85,5065
2026-05-24,MTR-101,67.3,89.3,2.56,129.8,690,0.93,5077
2026-05-25,MTR-101,68.9,84.7,3.34,128.4,1000,0.91,5093
2026-05-26,MTR-101,69.0,84.9,2.29,132.0,690,0.88,5099
2026-05-27,MTR-101,64.9,86.4,2.72,123.1,1000,0.98,5115
2026-05-28,MTR-101,68.1,82.1,2.71,124.7,690,0.87,5124
2026-05-29,MTR-101,70.4,83.2,2.51,132.4,415,0.95,5138
2026-05-30,MTR-101,70.6,79.6,2.95,121.4,690,0.88,5147
2025-12-02,MTR-102,53.3,77.9,2.11,122.3,690,0.92,2996
2025-12-03,MTR-102,53.1,70.6,2.11,129.1,690,0.97,3016
2025-12-04,MTR-102,54.3,73.1,1.37,120.8,1000,0.95,3020
2025-12-05,MTR-102,58.0,78.1,2.02,129.8,1000,0.83,3039
2025-12-06,MTR-102,55.2,77.2,2.07,116.5,1000,0.84,3046
2025-12-07,MTR-102,55.9,69.7,2.39,120.4,1000,0.91,3064
2025-12-08,MTR-102,60.6,74.9,1.92,115.6,415,0.9,3073
2025-12-09,MTR-102,55.7,74.3,2.65,124.6,415,0.91,3088
2025-12-10,MTR-102,57.3,75.0,2.24,112.1,1000,0.97,3097
2025-12-11,MTR-102,58.1,79.4,2.49,125.6,1000,0.92,3112
2025-12-12,MTR-102,59.1,71.8,2.19,131.1,1000,0.94,3116
2025-12-13,MTR-102,59.0,74.0,2.41,126.4,1000,0.92,3127
2025-12-14,MTR-102,55.3,71.9,2.25,121.7,415,0.85,3139
2025-12-15,MTR-102,56.5,69.8,1.89,120.3,1000,0.86,3159
2025-12-16,MTR-102,58.2,72.6,2.22,119.6,1000,0.89,3169
2025-12-17,MTR-102,59.7,71.0,1.6,128.7,1000,0.94,3178
2025-12-18,MTR-102,56.4,69.6,1.9,117.4,415,0.9,3188
2025-12-19,MTR-102,56.6,73.2,1.69,127.6,690,0.93,3208
2025-12-20,MTR-102,60.1,69.0,2.6,125.6,690,0.87,3216
2025-12-21,MTR-102,58.7,72.8,2.26,118.9,415,0.85,3232
2025-12-22,MTR-102,57.4,69.9,1.88,129.7,1000,0.97,3241
2025-12-23,MTR-102,55.4,71.7,2.46,124.2,415,0.83,3252
2025-12-24,MTR-102,58.0,71.7,2.14,122.7,690,0.85,3262
2025-12-25,MTR-102,55.5,69.9,1.89,122.3,1000,0.86,3271
2025-12-26,MTR-102,55.9,67.8,2.74,117.9,1000,0.85,3288
2025-12-27,MTR-102,58.1,72.6,1.98,125.8,1000,0.88,3300
2025-12-28,MTR-102,56.7,76.1,2.27,126.5,690,0.83,3311
2025-12-29,MTR-102,59.0,73.0,1.88,136.7,415,0.97,3319
2025-12-30,MTR-102,60.4,74.3,2.1,116.9,415,0.95,3335
2025-12-31,MTR-102,57.5,69.5,1.62,123.7,415,0.91,3346
2026-01-01,MTR-102,55.7,72.2,1.73,126.5,690,0.92,3361
2026-01-02,MTR-102,57.2,77.1,2.14,121.8,415,0.89,3375
2026-01-03,MTR-102,56.4,71.7,1.98,124.4,1000,0.86,3383
2026-01-04,MTR-102,54.5,75.3,2.25,135.0,1000,0.94,3395
2026-01-05,MTR-102,57.4,75.6,1.94,117.7,690,0.95,3407
2026-01-06,MTR-102,58.4,72.3,1.93,121.6,415,0.82,3419
2026-01-07,MTR-102,56.5,73.8,1.65,124.4,415,0.95,3431
2026-01-08,MTR-102,57.4,71.3,2.34,117.0,415,0.96,3445
2026-01-09,MTR-102,56.8,74.3,2.42,126.2,415,0.88,3456
2026-01-10,MTR-102,58.6,72.3,2.24,124.3,690,0.89,3463
2026-01-11,MTR-102,57.4,75.4,2.52,129.6,1000,0.89,3475
2026-01-12,MTR-102,56.3,73.1,1.74,123.8,415,0.89,3494
2026-01-13,MTR-102,56.9,73.2,1.69,118.6,1000,0.98,3501
2026-01-14,MTR-102,55.5,74.2,2.45,127.1,690,0.82,3511
2026-01-15,MTR-102,59.6,70.3,1.67,131.0,690,0.82,3526
2026-01-16,MTR-102,60.3,74.3,2.23,134.3,690,0.96,3544
2026-01-17,MTR-102,56.3,75.4,2.11,124.9,415,0.97,3548
2026-01-18,MTR-102,56.9,70.1,1.78,113.7,690,0.92,3564
2026-01-19,MTR-102,58.2,72.1,2.08,133.7,415,0.92,3573
2026-01-20,MTR-102,55.2,76.0,1.99,126.3,1000,0.86,3587
2026-01-21,MTR-102,55.0,73.3,2.05,121.7,690,0.98,3600
2026-01-22,MTR-102,61.1,73.5,2.19,120.1,1000,0.97,3609
2026-01-23,MTR-102,56.8,69.8,2.54,121.0,415,0.9,3624
2026-01-24,MTR-102,61.2,74.5,2.2,128.0,415,0.85,3640
2026-01-25,MTR-102,60.3,73.3,2.26,125.2,1000,0.88,3652
2026-01-26,MTR-102,55.0,75.8,2.32,126.4,1000,0.85,3663
2026-01-27,MTR-102,59.0,66.0,2.46,123.9,690,0.83,3667
2026-01-28,MTR-102,59.2,76.0,2.29,125.9,690,0.96,3683
2026-01-29,MTR-102,57.0,69.8,2.46,126.6,690,0.91,3695
2026-01-30,MTR-102,56.8,71.4,1.66,115.2,1000,0.9,3705
2026-01-31,MTR-102,57.9,70.5,2.66,132.9,690,0.9,3716
2026-02-01,MTR-102,57.0,72.8,2.42,116.4,1000,0.83,3736
2026-02-02,MTR-102,59.5,74.7,1.26,127.5,690,0.87,3745
2026-02-03,MTR-102,56.3,68.7,2.33,127.9,690,0.92,3751
2026-02-04,MTR-102,57.5,79.4,2.26,118.8,1000,0.95,3773
2026-02-05,MTR-102,58.2,68.5,2.31,131.9,690,0.86,3775
2026-02-06,MTR-102,56.4,68.7,1.68,109.5,415,0.89,3791
2026-02-07,MTR-102,59.4,76.9,2.13,124.2,690,0.83,3807
2026-02-08,MTR-102,59.1,76.3,2.07,122.5,1000,0.86,3818
2026-02-09,MTR-102,57.5,73.3,2.45,122.3,690,0.83,3826
2026-02-10,MTR-102,52.8,75.3,2.32,122.1,690,0.94,3845
2026-02-11,MTR-102,57.7,74.2,1.63,120.9,415,0.9,3851
2026-02-12,MTR-102,59.2,68.8,2.19,116.7,1000,0.87,3863
2026-02-13,MTR-102,54.4,76.1,1.88,119.5,1000,0.93,3871
2026-02-14,MTR-102,55.6,72.8,2.23,127.0,415,0.95,3883
2026-02-15,MTR-102,56.0,72.9,1.78,108.9,415,0.84,3900
2026-02-16,MTR-102,58.5,75.3,1.39,118.5,415,0.94,3914
2026-02-17,MTR-102,57.0,73.3,2.12,123.4,1000,0.95,3925
2026-02-18,MTR-102,57.9,75.8,2.34,127.6,1000,0.85,3935
2026-02-19,MTR-102,55.7,74.0,2.57,125.4,415,0.82,3951
2026-02-20,MTR-102,57.1,70.5,1.87,115.9,1000,0.84,3958
2026-02-21,MTR-102,53.2,69.5,2.06,119.1,1000,0.85,3976
2026-02-22,MTR-102,57.1,70.4,1.85,128.2,1000,0.92,3986
2026-02-23,MTR-102,52.1,75.8,1.73,124.6,1000,0.88,4001
2026-02-24,MTR-102,56.9,71.4,1.81,125.6,690,0.92,4008
2026-02-25,MTR-102,55.9,76.0,2.09,125.0,415,0.93,4016
2026-02-26,MTR-102,55.2,71.8,2.11,122.2,415,0.82,4030
2026-02-27,MTR-102,56.0,74.4,2.18,125.0,690,0.84,4047
2026-02-28,MTR-102,60.2,72.3,1.46,120.5,690,0.95,4060
2026-03-01,MTR-102,56.7,71.7,2.17,121.2,1000,0.84,4071
2026-03-02,MTR-102,56.0,74.4,1.75,133.6,690,0.94,4085
2026-03-03,MTR-102,56.7,74.6,2.0,120.1,1000,0.85,4095
2026-03-04,MTR-102,59.3,71.5,1.92,117.4,415,0.83,4103
2026-03-05,MTR-102,60.5,71.1,2.04,125.0,415,0.95,4112
2026-03-06,MTR-102,59.3,73.6,1.63,116.4,690,0.96,4130
2026-03-07,MTR-102,57.1,69.6,2.07,130.6,415,0.83,4142
2026-03-08,MTR-102,58.4,70.5,2.35,126.0,415,0.97,4155
2026-03-09,MTR-102,59.4,71.0,2.29,121.6,690,0.85,4163
2026-03-10,MTR-102,55.8,72.9,1.53,122.0,1000,0.83,4179
2026-03-11,MTR-102,59.7,70.0,2.23,128.0,690,0.87,4190
2026-03-12,MTR-102,59.1,70.7,2.12,121.2,690,0.96,4199
2026-03-13,MTR-102,55.8,73.3,2.39,126.0,415,0.82,4213
2026-03-14,MTR-102,54.0,70.5,2.54,121.7,415,0.87,4222
2026-03-15,MTR-102,61.8,69.3,2.46,132.3,415,0.92,4237
2026-03-16,MTR-102,55.7,72.7,2.02,111.5,690,0.86,4250
2026-03-17,MTR-102,60.6,74.4,2.78,124.0,690,0.96,4256
2026-03-18,MTR-102,56.7,66.0,2.03,113.2,690,0.92,4270
2026-03-19,MTR-102,57.8,68.2,2.0,119.7,415,0.89,4288
2026-03-20,MTR-102,58.4,72.1,1.86,122.5,415,0.95,4295
2026-03-21,MTR-102,57.8,66.1,2.09,128.9,1000,0.83,4313
2026-03-22,MTR-102,56.8,70.6,1.68,114.2,415,0.93,4315
2026-03-23,MTR-102,56.6,73.0,2.58,128.0,690,0.93,4327
2026-03-24,MTR-102,53.3,70.5,2.03,118.6,415,0.83,4348
2026-03-25,MTR-102,59.9,70.2,2.63,118.2,690,0.88,4361
2026-03-26,MTR-102,57.7,80.2,2.01,121.9,690,0.84,4364
2026-03-27,MTR-102,60.2,73.0,2.19,133.0,1000,0.9,4384
2026-03-28,MTR-102,57.3,68.2,2.41,121.8,1000,0.83,4395
2026-03-29,MTR-102,59.6,70.6,2.51,122.3,1000,0.89,4407
2026-03-30,MTR-102,54.0,70.5,1.55,129.4,415,0.82,4411
2026-03-31,MTR-102,60.4,81.9,2.23,118.4,415,0.96,4423
2026-04-01,MTR-102,57.3,73.9,1.39,125.2,1000,0.87,4445
2026-04-02,MTR-102,54.2,70.2,2.39,131.6,690,0.95,4454
2026-04-03,MTR-102,57.6,73.4,1.85,125.6,415,0.86,4466
2026-04-04,MTR-102,58.7,72.6,1.97,123.0,690,0.97,4481
2026-04-05,MTR-102,57.1,77.4,2.27,122.0,415,0.88,4487
2026-04-06,MTR-102,52.4,68.9,2.1,124.3,415,0.87,4498
2026-04-07,MTR-102,62.9,67.2,1.94,120.1,1000,0.89,4516
2026-04-08,MTR-102,58.7,75.2,2.11,116.9,1000,0.86,4529
2026-04-09,MTR-102,53.6,74.9,1.78,124.7,1000,0.84,4532
2026-04-10,MTR-102,52.5,71.8,2.43,133.3,690,0.89,4549
2026-04-11,MTR-102,56.7,72.3,2.89,116.0,1000,0.84,4565
2026-04-12,MTR-102,58.1,74.0,2.42,124.0,415,0.94,4573
2026-04-13,MTR-102,58.1,71.6,2.28,121.7,690,0.84,4581
2026-04-14,MTR-102,55.8,72.7,2.08,131.7,1000,0.88,4596
2026-04-15,MTR-102,63.0,75.5,2.72,117.7,415,0.88,4603
2026-04-16,MTR-102,60.0,71.6,2.22,131.0,415,0.9,4623
2026-04-17,MTR-102,54.8,75.5,1.86,118.1,1000,0.89,4633
2026-04-18,MTR-102,57.6,71.4,2.43,128.2,690,0.9,4643
2026-04-19,MTR-102,59.9,71.0,1.83,120.1,415,0.95,4653
2026-04-20,MTR-102,56.5,75.2,2.25,127.1,415,0.82,4670
2026-04-21,MTR-102,59.0,76.2,2.27,125.8,690,0.84,4681
2026-04-22,MTR-102,56.0,72.5,1.6,115.3,690,0.87,4694
2026-04-23,MTR-102,57.8,72.2,2.11,126.6,690,0.83,4705
2026-04-24,MTR-102,56.7,74.5,1.75,123.2,690,0.88,4712
2026-04-25,MTR-102,59.4,70.7,2.05,127.0,1000,0.82,4729
2026-04-26,MTR-102,54.5,72.2,2.12,123.6,415,0.85,4737
2026-04-27,MTR-102,55.9,73.6,2.1,128.5,690,0.89,4750
2026-04-28,MTR-102,56.3,73.2,1.77,127.4,690,0.95,4766
2026-04-29,MTR-102,58.7,67.4,1.89,131.3,1000,0.87,4772
2026-04-30,MTR-102,58.7,75.0,1.9,115.8,415,0.82,4792
2026-05-01,MTR-102,59.0,75.4,2.36,124.6,690,0.89,4800
2026-05-02,MTR-102,59.3,70.0,1.9,122.0,415,0.84,4815
2026-05-03,MTR-102,56.7,75.2,2.18,124.5,415,0.89,4824
2026-05-04,MTR-102,58.4,72.3,2.18,120.6,690,0.91,4841
2026-05-05,MTR-102,58.5,75.3,1.97,120.5,1000,0.93,4843
2026-05-06,MTR-102,56.3,71.4,2.22,124.3,415,0.84,4857
2026-05-07,MTR-102,57.6,69.7,2.39,122.0,1000,0.89,4868
2026-05-08,MTR-102,60.1,74.5,2.16,116.9,1000,0.94,4887
2026-05-09,MTR-102,56.9,78.9,2.02,125.3,415,0.94,4892
2026-05-10,MTR-102,59.0,72.1,2.21,120.6,690,0.92,4907
2026-05-11,MTR-102,56.9,78.5,1.85,124.3,1000,0.88,4923
2026-05-12,MTR-102,58.6,74.4,1.82,124.0,690,0.82,4931
2026-05-13,MTR-102,58.0,72.9,2.29,122.1,415,0.89,4942
2026-05-14,MTR-102,57.4,71.1,2.02,131.3,1000,0.86,4960
2026-05-15,MTR-102,58.1,75.9,2.04,120.0,415,0.84,4968
2026-05-16,MTR-102,53.8,70.4,2.47,119.4,1000,0.88,4985
2026-05-17,MTR-102,58.8,78.6,2.2,127.4,1000,0.95,4993
2026-05-18,MTR-102,57.2,77.1,1.62,119.4,1000,0.93,5000
2026-05-19,MTR-102,56.4,79.8,2.15,121.3,690,0.98,5017
2026-05-20,MTR-102,58.7,72.8,2.04,120.3,1000,0.94,5029
2026-05-21,MTR-102,58.3,69.6,2.21,130.6,1000,0.98,5042
2026-05-22,MTR-102,55.0,77.3,1.75,127.8,415,0.97,5052
2026-05-23,MTR-102,57.1,67.1,2.2,126.6,690,0.93,5060
2026-05-24,MTR-102,55.4,72.1,2.11,126.4,1000,0.88,5080
2026-05-25,MTR-102,56.5,73.3,2.35,120.4,690,0.91,5085
2026-05-26,MTR-102,57.2,68.9,2.23,125.4,690,0.84,5098
2026-05-27,MTR-102,54.4,74.0,2.7,116.7,1000,0.85,5108
2026-05-28,MTR-102,58.5,72.7,1.9,125.9,690,0.93,5119
2026-05-29,MTR-102,60.6,71.9,2.19,128.8,415,0.82,5135
2026-05-30,MTR-102,59.4,66.3,1.95,125.9,1000,0.94,5153
2025-12-02,MTR-103,62.1,65.7,2.17,94.8,415,0.83,2997
